Text,Amount,Category
We enjoyed dinner at McDonald's for $59,59,Food
I stopped for coffee and paid $142 on my way to work,142,Food
I got fast food on the go and paid $112,112,Food
I had meal and paid $38 at the pizza place,38,Food
We enjoyed lunch at Mexican restaurant for $39,39,Food
I got dessert and paid $128,128,Food
I purchased groceries for the week for $133,133,Food
I had takeout and paid $107 at the sushi bar,107,Food
I had delivery and paid $82 at the bakery,82,Food
We went out for lunch and paid $111 with colleagues,111,Food
I purchased ingredients and spent $80 for cooking dinner,80,Food
I spent $48 on food shopping today,48,Food
I picked up some groceries and spent $148 at Costco,148,Food
I bought lunch and paid $69 at work,69,Food
I purchased ingredients and spent $83 for cooking dinner,83,Food
We went out for lunch and paid $20 with colleagues,20,Food
I got dessert and paid $39,39,Food
We ordered takeout and paid $74,74,Food
I got dessert and paid $133,133,Food
We had delivery night and paid $72 with the family,72,Food
I treated myself to fast food and paid $144,144,Food
I got quick bite on the go and paid $19,19,Food
I treated myself to brunch and paid $99,99,Food
We had lunch night and paid $39 with the family,39,Food
We had breakfast night and paid $101 with the family,101,Food
We had brunch night and paid $30 with the family,30,Food
I spent $75 on food shopping today,75,Food
We had breakfast night and paid $133 with the family,133,Food
I grabbed a quick bite at bbq joint and paid $65 for quick bite,65,Food
We ordered takeout and paid $141,141,Food
I treated myself to snack and paid $46,46,Food
I paid $119 for breakfast with friends,119,Food
We had meal night and paid $20 with the family,20,Food
I bought lunch and paid $10 at work,10,Food
We ordered takeout and paid $96,96,Food
I purchased ingredients and spent $90 for cooking dinner,90,Food
I grabbed a quick bite at Thai place and paid $8 for quick bite,8,Food
We ordered takeout and paid $65,65,Food
We enjoyed quick bite at Subway for $83,83,Food
I got meal on the go and paid $38,38,Food
I had lunch and paid $81 at the burger joint,81,Food
We ordered takeout and paid $113,113,Food
I grabbed a quick bite at Mexican restaurant and paid $81 for dinner,81,Food
I got dessert and paid $119,119,Food
We went out for lunch and paid $131 with colleagues,131,Food
I had delivery and paid $19 at the Chinese restaurant,19,Food
We ordered takeout and paid $76,76,Food
We ordered takeout and paid $21,21,Food
I bought lunch and paid $136 at work,136,Food
I spent $88 on food shopping today,88,Food
I got takeout on the go and paid $108,108,Food
I had delivery and paid $86 at the food court,86,Food
I bought lunch and paid $45 at work,45,Food
We ordered takeout and paid $51,51,Food
I bought snacks and paid $96 for the road trip,96,Food
I bought lunch and paid $84 at work,84,Food
I bought snacks and paid $85 for the road trip,85,Food
I stopped for coffee and paid $41 on my way to work,41,Food
We ordered takeout and paid $117,117,Food
We went out for lunch and paid $103 with colleagues,103,Food
I spent $133 on food shopping today,133,Food
I grabbed a quick bite at bakery and paid $77 for breakfast,77,Food
I stopped for coffee and paid $15 on my way to work,15,Food
I treated myself to lunch and paid $23,23,Food
I had snack and paid $57 at the pizza place,57,Food
I paid $102 for breakfast with friends,102,Food
We had delivery night and paid $15 with the family,15,Food
We enjoyed lunch at bbq joint for $33,33,Food
We went out for lunch and paid $56 with colleagues,56,Food
I spent $117 on food for the party,117,Food
We went out for lunch and paid $101 with colleagues,101,Food
I spent $5 on food for the party,5,Food
I got snack on the go and paid $140,140,Food
We had breakfast night and paid $92 with the family,92,Food
I got dessert and paid $59,59,Food
We went out for lunch and paid $12 with colleagues,12,Food
I ordered dinner delivery and paid $63 after work,63,Food
I grabbed fast food from bbq joint for $142,142,Food
I purchased groceries for the week for $61,61,Food
I bought snacks and paid $34 for the road trip,34,Food
I had fast food and paid $102 at the seafood restaurant,102,Food
I got dessert and paid $124,124,Food
I bought snacks and paid $70 for the road trip,70,Food
I spent $27 on food for the party,27,Food
We went out for lunch and paid $51 with colleagues,51,Food
We went out for lunch and paid $56 with colleagues,56,Food
I picked up some groceries and spent $70 at Trader Joe's,70,Food
I treated myself to meal and paid $90,90,Food
I spent $116 on food shopping today,116,Food
I grabbed a quick bite at bbq joint and paid $115 for takeout,115,Food
We had fast food night and paid $82 with the family,82,Food
I paid $129 for breakfast with friends,129,Food
I had breakfast and paid $83 at the Mexican restaurant,83,Food
I grabbed quick bite from bbq joint for $23,23,Food
I spent $103 on food for the party,103,Food
I treated myself to quick bite and paid $114,114,Food
I got dessert and paid $39,39,Food
I paid $45 for breakfast with friends,45,Food
We had lunch night and paid $78 with the family,78,Food
I spent $32 on food for the party,32,Food
I purchased ingredients and spent $6 for cooking dinner,6,Food
I purchased groceries for the week for $97,97,Food
I spent $63 on food for the party,63,Food
I bought snacks and paid $53 for the road trip,53,Food
I purchased groceries for the week for $83,83,Food
We ordered takeout and paid $133,133,Food
I grabbed brunch from sushi bar for $15,15,Food
I spent $72 on food shopping today,72,Food
I paid $120 for breakfast with friends,120,Food
I picked up some groceries and spent $73 at convenience store,73,Food
We ordered takeout and paid $138,138,Food
We had delivery night and paid $9 with the family,9,Food
I paid $51 for breakfast with friends,51,Food
I got dessert and paid $109,109,Food
I ordered dinner delivery and paid $9 after work,9,Food
We had brunch night and paid $143 with the family,143,Food
I got dessert and paid $14,14,Food
I ordered dinner delivery and paid $49 after work,49,Food
I had takeout and paid $146 at the steakhouse,146,Food
I spent $48 on food shopping today,48,Food
I bought lunch and paid $87 at work,87,Food
I grabbed brunch from local cafe for $72,72,Food
We ordered takeout and paid $124,124,Food
I grabbed quick bite from restaurant for $141,141,Food
I picked up some groceries and spent $69 at convenience store,69,Food
I spent $111 on food shopping today,111,Food
I grabbed a quick bite at McDonald's and paid $139 for delivery,139,Food
I ordered dinner delivery and paid $138 after work,138,Food
We had delivery night and paid $102 with the family,102,Food
I picked up some groceries and spent $22 at supermarket,22,Food
I spent $67 on food shopping today,67,Food
I paid $14 for breakfast with friends,14,Food
I picked up some groceries and spent $61 at local grocery,61,Food
We ordered takeout and paid $135,135,Food
I had breakfast and paid $43 at the food truck,43,Food
We ordered takeout and paid $43,43,Food
I stopped for coffee and paid $60 on my way to work,60,Food
I picked up some groceries and spent $109 at Whole Foods,109,Food
We ordered takeout and paid $98,98,Food
I treated myself to lunch and paid $122,122,Food
I bought snacks and paid $35 for the road trip,35,Food
I got breakfast on the go and paid $41,41,Food
I spent $60 on food for the party,60,Food
I spent $59 on food for the party,59,Food
I grabbed a quick bite at restaurant and paid $116 for snack,116,Food
I spent $73 on food for the party,73,Food
We enjoyed dinner at pizza place for $18,18,Food
I picked up some groceries and spent $10 at Trader Joe's,10,Food
We went out for lunch and paid $48 with colleagues,48,Food
I picked up some groceries and spent $14 at convenience store,14,Food
I treated myself to quick bite and paid $70,70,Food
I treated myself to fast food and paid $36,36,Food
We enjoyed lunch at Thai place for $43,43,Food
I spent $90 on food for the party,90,Food
I grabbed takeout from seafood restaurant for $82,82,Food
I got dessert and paid $93,93,Food
I treated myself to snack and paid $20,20,Food
I purchased groceries for the week for $108,108,Food
We had snack night and paid $123 with the family,123,Food
I bought lunch and paid $127 at work,127,Food
I got delivery on the go and paid $110,110,Food
We ordered takeout and paid $31,31,Food
I picked up some groceries and spent $33 at Trader Joe's,33,Food
I purchased ingredients and spent $64 for cooking dinner,64,Food
I paid $74 for breakfast with friends,74,Food
I got dessert and paid $107,107,Food
We ordered takeout and paid $18,18,Food
I grabbed meal from sushi bar for $5,5,Food
I ordered dinner delivery and paid $55 after work,55,Food
We had lunch night and paid $84 with the family,84,Food
I treated myself to brunch and paid $125,125,Food
I had meal and paid $9 at the Subway,9,Food
I ordered dinner delivery and paid $83 after work,83,Food
I purchased ingredients and spent $109 for cooking dinner,109,Food
I purchased groceries for the week for $34,34,Food
We went out for lunch and paid $98 with colleagues,98,Food
I bought lunch and paid $93 at work,93,Food
I treated myself to dinner and paid $53,53,Food
I got delivery on the go and paid $140,140,Food
I purchased ingredients and spent $15 for cooking dinner,15,Food
I grabbed a quick bite at food truck and paid $44 for snack,44,Food
I bought snacks and paid $83 for the road trip,83,Food
I purchased ingredients and spent $147 for cooking dinner,147,Food
We ordered takeout and paid $21,21,Food
We enjoyed meal at Mexican restaurant for $57,57,Food
I had meal and paid $59 at the Chinese restaurant,59,Food
I treated myself to fast food and paid $77,77,Food
I bought snacks and paid $30 for the road trip,30,Food
I got dessert and paid $97,97,Food
I had breakfast and paid $45 at the steakhouse,45,Food
We enjoyed fast food at local cafe for $15,15,Food
I bought snacks and paid $7 for the road trip,7,Food
I spent $18 on food for the party,18,Food
I paid $86 for breakfast with friends,86,Food
We enjoyed snack at food court for $43,43,Food
I grabbed meal from bbq joint for $41,41,Food
I grabbed lunch from coffee shop for $20,20,Food
I spent $131 on food for the party,131,Food
I paid $90 for breakfast with friends,90,Food
I bought lunch and paid $119 at work,119,Food
I got lunch on the go and paid $67,67,Food
I had takeout and paid $14 at the bakery,14,Food
I grabbed dinner from food truck for $104,104,Food
I purchased groceries for the week for $59,59,Food
I grabbed meal from Subway for $148,148,Food
We ordered takeout and paid $131,131,Food
We ordered takeout and paid $14,14,Food
I picked up some groceries and spent $129 at Target,129,Food
I paid $131 for breakfast with friends,131,Food
I bought snacks and paid $76 for the road trip,76,Food
I purchased groceries for the week for $10,10,Food
I bought lunch and paid $6 at work,6,Food
I spent $129 on food shopping today,129,Food
I grabbed a quick bite at Thai place and paid $146 for lunch,146,Food
I bought snacks and paid $12 for the road trip,12,Food
I stopped for coffee and paid $58 on my way to work,58,Food
I purchased groceries for the week for $101,101,Food
I stopped for coffee and paid $146 on my way to work,146,Food
I treated myself to lunch and paid $129,129,Food
I ordered dinner delivery and paid $12 after work,12,Food
I ordered dinner delivery and paid $90 after work,90,Food
We enjoyed quick bite at bbq joint for $68,68,Food
I picked up some groceries and spent $29 at Walmart,29,Food
I spent $113 on food shopping today,113,Food
I got fast food on the go and paid $70,70,Food
I got fast food on the go and paid $149,149,Food
I grabbed brunch from food truck for $40,40,Food
I treated myself to meal and paid $76,76,Food
We ordered takeout and paid $16,16,Food
I purchased groceries for the week for $37,37,Food
We enjoyed meal at diner for $121,121,Food
I picked up some groceries and spent $10 at Walmart,10,Food
We ordered takeout and paid $109,109,Food
I spent $48 on food shopping today,48,Food
I purchased groceries for the week for $126,126,Food
I grabbed a quick bite at food truck and paid $10 for quick bite,10,Food
I grabbed snack from McDonald's for $107,107,Food
I bought lunch and paid $66 at work,66,Food
I purchased groceries for the week for $139,139,Food
I stopped for coffee and paid $90 on my way to work,90,Food
I treated myself to delivery and paid $59,59,Food
I ordered dinner delivery and paid $30 after work,30,Food
I treated myself to meal and paid $77,77,Food
We enjoyed meal at bbq joint for $84,84,Food
I stopped for coffee and paid $96 on my way to work,96,Food
I spent $19 on food for the party,19,Food
I paid $63 for breakfast with friends,63,Food
I grabbed lunch from diner for $147,147,Food
We enjoyed quick bite at diner for $130,130,Food
I picked up some groceries and spent $78 at Walmart,78,Food
We ordered takeout and paid $124,124,Food
I grabbed a quick bite at steakhouse and paid $143 for breakfast,143,Food
We enjoyed lunch at Italian restaurant for $94,94,Food
We ordered takeout and paid $111,111,Food
I grabbed takeout from sandwich shop for $86,86,Food
I grabbed dinner from burger joint for $17,17,Food
I spent $7 on food for the party,7,Food
I got snack on the go and paid $127,127,Food
I picked up some groceries and spent $102 at local grocery,102,Food
I purchased ingredients and spent $82 for cooking dinner,82,Food
I spent $93 on food for the party,93,Food
We ordered takeout and paid $144,144,Food
I purchased groceries for the week for $103,103,Food
I ordered dinner delivery and paid $38 after work,38,Food
I treated myself to brunch and paid $23,23,Food
I had breakfast and paid $129 at the sandwich shop,129,Food
We went out for lunch and paid $43 with colleagues,43,Food
We ordered takeout and paid $22,22,Food
I grabbed delivery from bakery for $19,19,Food
We had delivery night and paid $142 with the family,142,Food
I grabbed a quick bite at steakhouse and paid $13 for breakfast,13,Food
I got dinner on the go and paid $138,138,Food
I grabbed a quick bite at bakery and paid $8 for dinner,8,Food
We ordered takeout and paid $95,95,Food
I purchased ingredients and spent $53 for cooking dinner,53,Food
I stopped for coffee and paid $44 on my way to work,44,Food
I picked up some groceries and spent $97 at Trader Joe's,97,Food
I stopped for coffee and paid $110 on my way to work,110,Food
We ordered takeout and paid $112,112,Food
I grabbed a quick bite at burger joint and paid $123 for takeout,123,Food
I picked up some groceries and spent $119 at Costco,119,Food
I grabbed delivery from food truck for $118,118,Food
I spent $137 on food for the party,137,Food
I got dessert and paid $96,96,Food
We ordered takeout and paid $48,48,Food
We ordered takeout and paid $122,122,Food
We had lunch night and paid $22 with the family,22,Food
I ordered dinner delivery and paid $123 after work,123,Food
I ordered dinner delivery and paid $25 after work,25,Food
We went out for lunch and paid $76 with colleagues,76,Food
I picked up some groceries and spent $24 at local grocery,24,Food
I spent $10 on food for the party,10,Food
We had delivery night and paid $29 with the family,29,Food
I spent $13 on food shopping today,13,Food
I stopped for coffee and paid $17 on my way to work,17,Food
I had quick bite and paid $40 at the food court,40,Food
I spent $28 on food for the party,28,Food
I bought lunch and paid $90 at work,90,Food
I stopped for coffee and paid $35 on my way to work,35,Food
I purchased ingredients and spent $36 for cooking dinner,36,Food
I spent $35 on food for the party,35,Food
We ordered takeout and paid $140,140,Food
We had snack night and paid $116 with the family,116,Food
I grabbed takeout from food truck for $90,90,Food
I purchased groceries for the week for $85,85,Food
I stopped for coffee and paid $136 on my way to work,136,Food
I bought lunch and paid $125 at work,125,Food
I stopped for coffee and paid $128 on my way to work,128,Food
I paid $114 for breakfast with friends,114,Food
I had brunch and paid $34 at the bbq joint,34,Food
I grabbed a quick bite at Thai place and paid $84 for quick bite,84,Food
We enjoyed dinner at bbq joint for $27,27,Food
I treated myself to meal and paid $21,21,Food
I bought snacks and paid $65 for the road trip,65,Food
I picked up some groceries and spent $11 at supermarket,11,Food
I treated myself to brunch and paid $33,33,Food
I picked up some groceries and spent $11 at farmers market,11,Food
We went out for lunch and paid $7 with colleagues,7,Food
I spent $25 on food for the party,25,Food
I paid $110 for breakfast with friends,110,Food
I purchased ingredients and spent $25 for cooking dinner,25,Food
We went out for lunch and paid $49 with colleagues,49,Food
I paid $128 for breakfast with friends,128,Food
I stopped for coffee and paid $63 on my way to work,63,Food
I bought snacks and paid $6 for the road trip,6,Food
I paid $125 for breakfast with friends,125,Food
I stopped for coffee and paid $122 on my way to work,122,Food
We enjoyed snack at bakery for $96,96,Food
I paid $24 for breakfast with friends,24,Food
We enjoyed dinner at restaurant for $60,60,Food
We enjoyed takeout at pizza place for $109,109,Food
We enjoyed breakfast at diner for $82,82,Food
I bought lunch and paid $5 at work,5,Food
I picked up some groceries and spent $88 at Costco,88,Food
I got dessert and paid $144,144,Food
I ordered dinner delivery and paid $88 after work,88,Food
I purchased groceries for the week for $117,117,Food
We enjoyed meal at local cafe for $140,140,Food
I purchased ingredients and spent $27 for cooking dinner,27,Food
I bought lunch and paid $101 at work,101,Food
I purchased groceries for the week for $116,116,Food
I treated myself to breakfast and paid $14,14,Food
I purchased groceries for the week for $143,143,Food
I ordered dinner delivery and paid $127 after work,127,Food
I bought snacks and paid $121 for the road trip,121,Food
I treated myself to meal and paid $127,127,Food
I got dessert and paid $88,88,Food
I bought lunch and paid $21 at work,21,Food
I paid $10 for breakfast with friends,10,Food
I purchased ingredients and spent $57 for cooking dinner,57,Food
I spent $29 on food shopping today,29,Food
I bought lunch and paid $124 at work,124,Food
I stopped for coffee and paid $47 on my way to work,47,Food
I got breakfast on the go and paid $56,56,Food
We ordered takeout and paid $112,112,Food
I stopped for coffee and paid $110 on my way to work,110,Food
I got dessert and paid $65,65,Food
I spent $29 on food for the party,29,Food
I spent $17 on food shopping today,17,Food
I ordered dinner delivery and paid $11 after work,11,Food
We had dinner night and paid $15 with the family,15,Food
I grabbed a quick bite at steakhouse and paid $64 for quick bite,64,Food
I bought lunch and paid $113 at work,113,Food
I grabbed a quick bite at McDonald's and paid $99 for breakfast,99,Food
I spent $146 on food shopping today,146,Food
We ordered takeout and paid $5,5,Food
I got dessert and paid $70,70,Food
I bought lunch and paid $107 at work,107,Food
I got dessert and paid $133,133,Food
I purchased groceries for the week for $77,77,Food
I grabbed a quick bite at steakhouse and paid $29 for fast food,29,Food
I ordered dinner delivery and paid $54 after work,54,Food
We ordered takeout and paid $127,127,Food
I spent $48 on food for the party,48,Food
I got dessert and paid $32,32,Food
We enjoyed snack at Chinese restaurant for $57,57,Food
I grabbed dinner from food truck for $91,91,Food
I got takeout on the go and paid $92,92,Food
I ordered dinner delivery and paid $12 after work,12,Food
I had quick bite and paid $8 at the Italian restaurant,8,Food
I got dessert and paid $141,141,Food
I grabbed a quick bite at bakery and paid $104 for delivery,104,Food
I spent $11 on food for the party,11,Food
I ordered dinner delivery and paid $112 after work,112,Food
I bought snacks and paid $47 for the road trip,47,Food
I ordered dinner delivery and paid $22 after work,22,Food
I purchased groceries for the week for $60,60,Food
I picked up some groceries and spent $134 at Whole Foods,134,Food
I spent $32 on food for the party,32,Food
I grabbed quick bite from food court for $87,87,Food
We ordered takeout and paid $25,25,Food
I bought snacks and paid $74 for the road trip,74,Food
I picked up some groceries and spent $124 at Costco,124,Food
I bought snacks and paid $45 for the road trip,45,Food
We ordered takeout and paid $96,96,Food
I bought lunch and paid $85 at work,85,Food
We enjoyed takeout at bakery for $5,5,Food
I grabbed a quick bite at Italian restaurant and paid $68 for meal,68,Food
I bought lunch and paid $47 at work,47,Food
I got snack on the go and paid $114,114,Food
I purchased ingredients and spent $47 for cooking dinner,47,Food
We had dinner night and paid $14 with the family,14,Food
I grabbed quick bite from coffee shop for $109,109,Food
We ordered takeout and paid $70,70,Food
We ordered takeout and paid $70,70,Food
We ordered takeout and paid $107,107,Food
I spent $110 on food shopping today,110,Food
I grabbed meal from seafood restaurant for $83,83,Food
I ordered dinner delivery and paid $27 after work,27,Food
I bought snacks and paid $66 for the road trip,66,Food
I spent $72 on food shopping today,72,Food
I purchased ingredients and spent $142 for cooking dinner,142,Food
We went out for lunch and paid $56 with colleagues,56,Food
I purchased ingredients and spent $73 for cooking dinner,73,Food
I picked up some groceries and spent $40 at convenience store,40,Food
I had breakfast and paid $6 at the Thai place,6,Food
I grabbed a quick bite at Subway and paid $88 for brunch,88,Food
I got dessert and paid $128,128,Food
I grabbed a quick bite at pizza place and paid $74 for breakfast,74,Food
I treated myself to fast food and paid $140,140,Food
I treated myself to fast food and paid $115,115,Food
I grabbed breakfast from seafood restaurant for $136,136,Food
I grabbed a quick bite at Thai place and paid $29 for delivery,29,Food
I bought snacks and paid $90 for the road trip,90,Food
We went out for lunch and paid $38 with colleagues,38,Food
I purchased ingredients and spent $46 for cooking dinner,46,Food
We went out for lunch and paid $144 with colleagues,144,Food
I got dessert and paid $56,56,Food
I stopped for coffee and paid $21 on my way to work,21,Food
I picked up some groceries and spent $85 at farmers market,85,Food
We enjoyed snack at steakhouse for $111,111,Food
I grabbed lunch from local cafe for $76,76,Food
We enjoyed takeout at steakhouse for $45,45,Food
I purchased ingredients and spent $91 for cooking dinner,91,Food
We went out for lunch and paid $146 with colleagues,146,Food
I spent $31 on food for the party,31,Food
We went out for lunch and paid $36 with colleagues,36,Food
I paid $17 for breakfast with friends,17,Food
I bought lunch and paid $137 at work,137,Food
I had brunch and paid $91 at the Italian restaurant,91,Food
I spent $108 on food for the party,108,Food
I had fast food and paid $96 at the steakhouse,96,Food
I purchased ingredients and spent $62 for cooking dinner,62,Food
I grabbed lunch from Subway for $108,108,Food
We had snack night and paid $76 with the family,76,Food
I grabbed a quick bite at Chinese restaurant and paid $21 for lunch,21,Food
I paid $67 for breakfast with friends,67,Food
I picked up some groceries and spent $147 at Target,147,Food
We ordered takeout and paid $65,65,Food
We had dinner night and paid $105 with the family,105,Food
I ordered dinner delivery and paid $39 after work,39,Food
We went out for lunch and paid $137 with colleagues,137,Food
I spent $110 on food shopping today,110,Food
We ordered takeout and paid $19,19,Food
I spent $73 on food shopping today,73,Food
We went out for lunch and paid $34 with colleagues,34,Food
I spent $113 on food for the party,113,Food
I purchased ingredients and spent $20 for cooking dinner,20,Food
I bought lunch and paid $98 at work,98,Food
We went out for lunch and paid $56 with colleagues,56,Food
I picked up some groceries and spent $31 at Costco,31,Food
I purchased ingredients and spent $30 for cooking dinner,30,Food
I bought snacks and paid $30 for the road trip,30,Food
I got dessert and paid $8,8,Food
We had delivery night and paid $51 with the family,51,Food
I got meal on the go and paid $20,20,Food
I got dessert and paid $7,7,Food
We enjoyed lunch at Thai place for $24,24,Food
I treated myself to meal and paid $102,102,Food
I spent $46 on food shopping today,46,Food
We had quick bite night and paid $75 with the family,75,Food
I got lunch on the go and paid $116,116,Food
We had fast food night and paid $25 with the family,25,Food
I ordered dinner delivery and paid $51 after work,51,Food
I had lunch and paid $50 at the Chinese restaurant,50,Food
I purchased ingredients and spent $78 for cooking dinner,78,Food
We went out for lunch and paid $148 with colleagues,148,Food
I paid $70 for breakfast with friends,70,Food
I grabbed delivery from McDonald's for $101,101,Food
I purchased groceries for the week for $29,29,Food
I paid $22 for breakfast with friends,22,Food
I purchased groceries for the week for $124,124,Food
I grabbed snack from food court for $12,12,Food
We went out for lunch and paid $48 with colleagues,48,Food
I picked up some groceries and spent $131 at Whole Foods,131,Food
I purchased ingredients and spent $117 for cooking dinner,117,Food
I stopped for coffee and paid $91 on my way to work,91,Food
I bought lunch and paid $6 at work,6,Food
I stopped for coffee and paid $19 on my way to work,19,Food
We had snack night and paid $81 with the family,81,Food
I spent $15 on food shopping today,15,Food
We ordered takeout and paid $44,44,Food
We had quick bite night and paid $106 with the family,106,Food
I spent $86 on food shopping today,86,Food
I bought snacks and paid $114 for the road trip,114,Food
I picked up some groceries and spent $150 at Target,150,Food
We went out for lunch and paid $31 with colleagues,31,Food
I grabbed quick bite from food truck for $121,121,Food
I had brunch and paid $109 at the Subway,109,Food
I grabbed a quick bite at sandwich shop and paid $32 for brunch,32,Food
I purchased ingredients and spent $48 for cooking dinner,48,Food
I grabbed meal from diner for $73,73,Food
I spent $46 on food for the party,46,Food
I picked up some groceries and spent $33 at Target,33,Food
We went out for lunch and paid $46 with colleagues,46,Food
We ordered takeout and paid $54,54,Food
I got brunch on the go and paid $15,15,Food
I spent $100 on food for the party,100,Food
I had breakfast and paid $133 at the bakery,133,Food
I had dinner and paid $101 at the restaurant,101,Food
I purchased groceries for the week for $30,30,Food
I bought snacks and paid $57 for the road trip,57,Food
I got dessert and paid $85,85,Food
I grabbed a quick bite at Subway and paid $10 for breakfast,10,Food
I grabbed quick bite from seafood restaurant for $144,144,Food
We enjoyed quick bite at Thai place for $45,45,Food
I spent $42 on food for the party,42,Food
I picked up some groceries and spent $73 at Costco,73,Food
We had quick bite night and paid $135 with the family,135,Food
We had quick bite night and paid $49 with the family,49,Food
We ordered takeout and paid $7,7,Food
I had brunch and paid $42 at the McDonald's,42,Food
I got delivery on the go and paid $132,132,Food
I ordered dinner delivery and paid $129 after work,129,Food
We enjoyed fast food at pizza place for $33,33,Food
I ordered dinner delivery and paid $128 after work,128,Food
I grabbed delivery from steakhouse for $91,91,Food
I spent $145 on food for the party,145,Food
I bought snacks and paid $118 for the road trip,118,Food
We ordered takeout and paid $127,127,Food
I got snack on the go and paid $84,84,Food
We went out for lunch and paid $37 with colleagues,37,Food
I had takeout and paid $77 at the food court,77,Food
We enjoyed breakfast at food court for $34,34,Food
I bought snacks and paid $105 for the road trip,105,Food
I treated myself to dinner and paid $106,106,Food
I ordered dinner delivery and paid $80 after work,80,Food
We enjoyed fast food at coffee shop for $132,132,Food
I paid $53 for breakfast with friends,53,Food
